stress_11,stress_12,stress_13,stress_21,stress_22,stress_23,stress_31,stress_32,stress_33,tangent_1,tangent_2,tangent_3,burgers_1,burgers_2,burgers_3,e1,e2,e3,anev1,anev2,anev3,temp,miss,velo
4.5025306860723216e-17,-0.23512874692195082,-2.2136135704778496e-17,-0.23512874692195082,-2.1687855097972733e-17,-0.10644382984654377,-2.2136135704778496e-17,-0.10644382984654377,3.9798690059690556e-17,0.33027906195516527,0.0,0.9438833303083682,-1.0000000000000004,-1.655422708293217e-17,0.0,0.258100400118804,6.054444019988502e-17,-0.2581004001188041,0.4880115735832959,0.7236638778448949,0.48801157358329567,300.0,109.28571428571418,[0.78861469]
1.0102477258607316e-16,-0.20137447812464176,-5.164485610862578e-17,-0.20137447812464176,-1.5575665350585702e-17,-0.01431646391453269,-5.164485610862578e-17,-0.01431646391453269,5.134586671313481e-17,0.11196447610330802,-0.0,0.9937122098932425,-1.0000000000000004,-1.655422708293217e-17,-0.0,0.2018827421524385,5.890092453089898e-17,-0.20188274215243845,0.12880052103264047,0.9832704874872633,0.12880052103264084,300.0,96.42857142857144,[1.04974045]
-2.927599975595038e-17,-0.3028529766134242,5.180832354127851e-17,-0.3028529766134242,4.132673749653731e-18,-0.17022082096917412,5.180832354127851e-17,-0.17022082096917412,-7.740949401662325e-17,0.5320320765153398,0.0,0.8467241992282821,-1.0000000000000004,-1.655422708293217e-17,0.0,0.3474119360860113,-1.0780809674693506e-16,-0.3474119360860117,0.6213076952710878,0.47744475658850694,0.6213076952710873,300.0,122.14285714285737,[0.78486845]
-7.466595430046657e-17,-0.39044762969155966,3.696019000921279e-17,-0.39044762969155966,-2.2573428044327104e-19,-0.1968640503822658,3.696019000921279e-17,-0.1968640503822658,-9.041526140523941e-17,0.7071067811865442,0.0,0.7071067811865506,-1.0000000000000004,-1.655422708293217e-17,0.0,0.4372697175253147,-1.1722192817316884e-16,-0.43726971752531507,0.6715668345359672,0.313043085696971,0.6715668345359673,300.0,134.99999999999974,[0.95506918]
-4.19692119870297e-17,-0.4791686797620522,-1.6859529070606808e-18,-0.4791686797620522,-8.560538481425586e-18,-0.18012586915727286,-1.6859529070606808e-18,-0.18012586915727286,-4.36491959587902e-17,0.8467241992282871,0.0,0.5320320765153319,-1.0000000000000004,-1.655422708293217e-17,0.0,0.511906194926933,-3.919305385115339e-17,-0.5119061949269326,0.6928104705791999,0.20006824763478792,0.6928104705792,300.0,147.85714285714317,[0.54072529]
2.28338906756078e-18,-0.5517662787168245,1.3813201545586318e-17,-0.5517662787168245,-8.087364701265653e-18,-0.12440950726879635,1.3813201545586318e-17,-0.12440950726879635,1.3287935239170245e-17,0.9438833303083684,0.0,0.3302790619551646,-1.0000000000000004,-1.655422708293217e-17,0.0,0.5656180264346928,7.581009753933848e-18,-0.5656180264346927,0.7024497533648894,0.11458048697405329,0.7024497533648896,300.0,160.7142857142859,[0.35223284]
2.235637585159319e-17,-0.5954690844983818,-2.7878997580466726e-17,-0.5954690844983818,-6.9565227771219585e-19,-0.04185661912331019,-2.7878997580466726e-17,-0.04185661912331019,5.5044436077320714e-17,0.9937122098932417,0.0,0.11196447610331499,-1.0000000000000004,-1.655422708293217e-17,0.0,0.596938361271727,5.877704096823542e-17,-0.5969383612717272,0.7064825120501973,0.04201095493422666,0.7064825120501974,300.0,173.57142857142824,[0.3416702]
5.767727917518309e-17,-0.6022677248643853,-1.7490472663360203e-17,-0.6022677248643853,9.407042033087853e-18,0.05172414258432144,-1.7490472663360203e-17,0.05172414258432144,6.128143083552974e-17,0.9937122098932417,0.0,-0.11196447610331446,-1.0000000000000004,-1.655422708293217e-17,0.0,0.6044847387150535,5.823181073444291e-17,-0.6044847387150533,0.7068579945429241,0.026524537724739707,0.706857994542924,300.0,173.57142857142824,[0.34007234]
7.173249391566772e-17,-0.5699529175783584,4.9793129589364565e-18,-0.5699529175783584,7.182528372806147e-18,0.13908903033130882,4.9793129589364565e-18,0.13908903033130882,3.96340017084537e-17,0.9438833303083684,0.0,-0.3302790619551646,-1.0000000000000004,-1.655422708293217e-17,0.0,0.5866788615712919,4.445044811440193e-17,-0.5866788615712918,0.7037662421834416,0.09708837585413915,0.7037662421834415,300.0,160.7142857142859,[0.35110761]
-1.8001223604387196e-17,-0.5042335841048687,-5.5266100629150224e-17,-0.5042335841048687,-7.291597099654939e-20,0.20375276352295785,-5.5266100629150224e-17,0.20375276352295785,-2.3695587880761442e-17,0.8467241992282853,0.0,-0.5320320765153347,-1.0000000000000004,-1.655422708293217e-17,0.0,0.5438443674273772,-6.173251614906976e-17,-0.5438443674273777,0.696062118064483,0.17605412687912386,0.696062118064483,300.0,147.85714285714297,[0.33665717]
-3.091542209919373e-17,-0.4179365431997294,-4.3489632922026296e-17,-0.4179365431997294,-1.4591223434720777e-17,0.2331071815319917,-4.3489632922026296e-17,0.2331071815319917,-1.3860579969531518e-17,0.7071067811865482,0.0,-0.7071067811865467,-1.0000000000000004,-1.655422708293217e-17,0.0,0.4785498011947429,-3.517711547878846e-17,-0.4785498011947429,0.6802256767282437,0.2731044808112928,0.6802256767282436,300.0,135.00000000000009,[0.95378124]
-8.692363774106325e-17,-0.328029793102692,-5.949192877105268e-18,-0.328029793102692,-1.7093729234426827e-17,0.22122622669150782,-5.949192877105268e-18,0.22122622669150782,-9.994437833953754e-17,0.5320320765153336,0.0,-0.846724199228286,-1.0000000000000004,-1.655422708293217e-17,0.0,0.39565716035370496,-1.1299683396804844e-16,-0.39565716035370446,0.6466697011449437,0.40452020375034187,0.646669701144944,300.0,122.14285714285697,[0.90918128]
-6.630554472362268e-17,-0.2522459199757822,-2.7313761027972693e-17,-0.2522459199757822,3.546079600538729e-18,0.17025267161765575,-2.7313761027972693e-17,0.17025267161765575,-6.419567870983113e-17,0.33027906195517387,0.0,-0.9438833303083651,-1.0000000000000004,-1.655422708293217e-17,0.0,0.30432544477479706,-6.231839832976978e-17,-0.304325444774797,0.5669630103287172,0.597583374800535,0.5669630103287179,300.0,109.2857142857147,[0.77608301]
-7.511233570058592e-17,-0.20588868869111987,1.7722571193888275e-17,-0.20588868869111987,4.1598126925215895e-18,0.09013091929357549,1.7722571193888275e-17,0.09013091929357549,-1.717942669685097e-17,0.11196447610330278,0.0,-0.993712209893243,-1.0000000000000004,-1.655422708293217e-17,0.0,0.22475260786841578,-1.4667202376515555e-17,-0.2247526078684157,0.35430881482415755,0.8654077232586969,0.35430881482415777,300.0,96.42857142857113,[1.0605476]
-1.069337302608105e-16,-0.1988592489457565,-3.9450629169561555e-17,-0.1988592489457565,-1.1456695140248618e-17,-0.0032991332292818015,-3.9450629169561555e-17,-0.0032991332292818015,-1.9603836100179204e-17,-0.11196447610330278,0.0,-0.993712209893243,-1.0000000000000004,-1.655422708293217e-17,0.0,0.1988866138565763,-1.831955305068523e-17,-0.1988866138565764,0.09081568922421715,0.9917182166227767,0.09081568922421741,300.0,83.57142857142887,[1.03126661]
-1.7486979479633392e-17,-0.23339126751680697,-1.3080215071924953e-16,-0.23339126751680697,5.3669058574398295e-18,-0.09149788565025144,-1.3080215071924953e-16,-0.09149788565025144,4.508691237761402e-17,-0.33027906195517537,0.0,-0.9438833303083647,-1.0000000000000004,-1.655422708293217e-17,0.0,0.2506857531483755,1.2645557613591735e-16,-0.2506857531483755,0.46103493824316644,0.7582173642421013,0.4610349382431669,300.0,70.71428571428521,[0.75834206]
