Misorientation Angle (degrees),Predicted Velocity (A/ps)
109.2857143,[1.4078479]
96.42857143,[1.41095049]
122.1428571,[1.398658]
135,[1.16700685]
147.8571429,[0.65533742]
160.7142857,[0.55628339]
173.5714286,[0.26162549]
173.5714286,[0.26894805]
160.7142857,[0.61482408]
147.8571429,[0.67722766]
135,[1.17396702]
122.1428571,[1.40572281]
109.2857143,[1.41457334]
96.42857143,[1.41441147]
83.57142857,[1.3948185]
70.71428571,[1.35418096]
57.85714286,[1.20861809]
45,[1.09371257]
32.14285714,[0.58929448]
19.28571429,[0.53949189]
6.428571429,[0.18718645]
6.428571429,[0.18726562]
19.28571429,[0.53257398]
32.14285714,[0.61900454]
45,[1.04153221]
57.85714286,[1.13172679]
70.71428571,[1.37093977]
83.57142857,[1.42658742]
