stress_11,stress_12,stress_13,stress_21,stress_22,stress_23,stress_31,stress_32,stress_33,e1,e2,e3,anev1,anev2,anev3,temp,miss,velo
1.532214838947249e-16,0.014971253078047265,-8.112061171070159e-17,0.014971253078047265,-1.4151802966251223e-17,-0.10644382984654345,-8.112061171070159e-17,-0.10644382984654345,1.2823443546719666e-16,0.10749152213605895,1.4166238359213427e-16,-0.10749152213605881,0.6283936231213754,0.45852252817149786,0.6283936231213753,1000.0,109.28571428571418,[0.27672133]
3.570074466087425e-17,0.048725521875359064,-8.710874256417914e-17,0.048725521875359064,-5.869091291525047e-18,-0.014316463914532463,-8.710874256417914e-17,-0.014316463914532463,4.5407318719934905e-17,0.05078521065273047,-2.415809642644747e-18,-0.05078521065273039,0.12212167945799737,0.9849733959923571,0.12212167945799518,1000.0,96.42857142857144,[0.17144543]
6.832803027263627e-17,-0.05275297661342519,-2.6262094402219525e-17,-0.05275297661342519,-2.2729705623095522e-17,-0.1702208209691746,-2.6262094402219525e-17,-0.1702208209691746,9.95574997631919e-17,0.17820775637720257,1.0042019320046038e-16,-0.17820775637720254,0.6832543047926661,0.25754050160039155,0.6832543047926659,1000.0,122.14285714285737,[0.24840549]
2.6393546636444002e-17,-0.1403476296915657,-4.219006259313646e-17,-0.1403476296915657,-2.0941195554968067e-17,-0.19686405038226662,-4.219006259313646e-17,-0.19686405038226662,8.11601559070653e-17,0.24177036934445145,1.0028311095505457e-16,-0.2417703693444514,0.6973800821584661,0.1652938051389149,0.6973800821584661,1000.0,134.99999999999974,[0.34029906]
2.997056677269891e-17,-0.22906867976205195,-1.0908934680710175e-16,-0.22906867976205195,-3.687282650163739e-17,-0.18012586915727427,-1.0908934680710175e-16,-0.18012586915727427,9.39749173660756e-17,0.2914065695683489,1.7463305878651455e-16,-0.29140656956834887,0.7031859092734003,0.10516251232583994,0.7031859092734004,1000.0,147.85714285714317,[0.21766878]
-2.710547782861124e-17,-0.3016662787167947,-8.978743793775656e-17,-0.3016662787167947,-2.1687855097972733e-17,-0.1244095072688048,-8.978743793775656e-17,-0.1244095072688048,3.4242153925702346e-17,0.3263131459406834,9.236378230018805e-17,-0.3263131459406833,0.7060546825220472,0.054530455503159526,0.7060546825220474,1000.0,160.7142857142859,[0.19798674]
-4.9314258189145366e-18,-0.34536908449835974,-1.8004750702519122e-17,-0.34536908449835974,-1.9926476553937017e-17,-0.04185661912331833,-1.8004750702519122e-17,-0.04185661912331833,3.620647626994427e-17,0.3478962217266374,3.991262623083726e-17,-0.34789622172663737,0.7070817992343449,0.008405854093609154,0.7070817992343449,1000.0,173.57142857142824,[0.20180487]
1.5510549692765527e-17,-0.3521677248643884,-2.290171948583715e-17,-0.3521677248643884,-2.779136275765041e-17,0.051724142584321106,-2.290171948583715e-17,0.051724142584321106,4.211789273905243e-17,0.3559459135349678,3.5020582955557663e-17,-0.35594591353496785,0.7067069292541671,0.033624876033829305,0.7067069292541671,1000.0,173.57142857142824,[0.18232733]
-9.020689130021485e-18,-0.31985291757836587,8.694744565345375e-17,-0.31985291757836587,-2.4117754395628905e-17,0.13908903033130837,8.694744565345375e-17,0.13908903033130837,-1.0519543046945533e-16,0.3487859619335283,-2.6493991606707543e-17,-0.34878596193352845,0.7051931158729362,0.07352100822784492,0.7051931158729362,1000.0,160.7142857142859,[0.20012138]
-5.661480869175058e-17,-0.25413358410484166,6.283469363257926e-17,-0.25413358410484166,-2.2284307740724507e-17,0.2037527635229242,6.283469363257926e-17,0.2037527635229242,-1.0683553110080097e-16,0.3257285176541981,-4.8894253148391805e-17,-0.325728517654198,0.7024514946592582,0.11455913451989985,0.7024514946592583,1000.0,147.85714285714297,[0.28817035]
-5.810175186959835e-17,-0.16783654319969557,1.0715091811116488e-16,-0.16783654319969557,-1.2649411776873718e-17,0.23310718153195942,1.0715091811116488e-16,0.23310718153195942,-8.695158321087774e-17,0.28724216841368727,1.5586427887068784e-17,-0.2872421684136874,0.6979193322239059,0.16067735190833302,0.6979193322239061,1000.0,135.00000000000009,[0.32718624]
