Misorientation Angle (degrees),Predicted Velocity (A/ps)
109.28571428571418,[0.78861469]
96.42857142857144,[1.04974045]
122.14285714285737,[0.78486845]
134.99999999999974,[0.95506918]
147.85714285714317,[0.54072529]
160.7142857142859,[0.35223284]
173.57142857142824,[0.3416702]
173.57142857142824,[0.34007234]
160.7142857142859,[0.35110761]
147.85714285714297,[0.33665717]
135.00000000000009,[0.95378124]
122.14285714285697,[0.90918128]
109.2857142857147,[0.77608301]
96.42857142857113,[1.0605476]
83.57142857142887,[1.03126661]
70.71428571428521,[0.75834206]
57.85714285714325,[0.74545381]
44.99999999999968,[0.94932511]
32.142857142857316,[0.5362704]
19.285714285714285,[0.3435951]
6.428571428571361,[0.33519143]
6.4285714285713045,[0.3423441]
19.285714285714267,[0.34564038]
32.142857142857096,[0.51459474]
45.00000000000003,[0.9696743]
57.85714285714292,[1.22638131]
70.71428571428564,[0.75211969]
83.57142857142857,[1.06126967]
