stress_11,stress_12,stress_13,stress_21,stress_22,stress_23,stress_31,stress_32,stress_33,e1,e2,e3,anev1,anev2,anev3,temp,miss,velo
-3.096032477156556e-17,0.2650712530780472,-6.3913053014808e-18,0.2650712530780472,-1.64959666477775e-17,-0.10644382984654377,-6.3913053014808e-18,-0.10644382984654377,1.991670920526399e-17,0.285644986164235,1.1703817526643393e-17,-0.2856449861642351,0.03199073023501012,0.9989760689616453,0.03199073023501009,500.0,109.28571428571418,[0.966685]
-1.136311639400589e-16,0.2988255218753589,-4.0423257744282395e-17,0.2988255218753589,-1.335305089699042e-17,-0.014316463914532762,-4.0423257744282395e-17,-0.014316463914532762,-5.3446931938799103e-17,0.2991682698133222,-5.743779849277313e-17,-0.2991682698133222,0.04545486041062488,0.9979317167672853,0.04545486041062508,500.0,96.42857142857144,[0.95388502]
3.5787565537967816e-17,0.1973470233865746,-6.470624312162999e-17,0.1973470233865746,-5.955912168618613e-18,-0.17022082096917385,-6.470624312162999e-17,-0.17022082096917385,8.847047375834353e-18,0.2606165296579647,-4.3075226332156275e-17,-0.2606165296579646,0.10618176867516164,0.9886611472097144,0.10618176867516178,500.0,122.14285714285737,[0.94508173]
-1.2832125634429025e-17,0.10975237030843585,-3.4098628163257045e-17,0.10975237030843585,-6.633115009948427e-18,-0.19686405038226562,-3.4098628163257045e-17,-0.19686405038226562,-5.5218077831507845e-17,0.22539085412063908,-4.616530339927881e-17,-0.22539085412063917,0.19324581827797896,0.9619314463287643,0.19324581827797915,500.0,134.99999999999974,[0.90940618]
-9.207354015772651e-17,0.021031320237948754,3.644577631243341e-17,0.021031320237948754,-2.012507931028855e-17,-0.18012586915727447,3.644577631243341e-17,-0.18012586915727447,-9.89975051059384e-17,0.18134951108457584,-9.242957498915608e-17,-0.18134951108457598,0.30423029569049287,0.9027113904056772,0.30423029569049254,500.0,147.85714285714317,[0.42389889]
-1.1842367635562373e-16,-0.051566278716795984,3.747948738032868e-17,-0.051566278716795984,-1.2398021248961196e-17,-0.12440950726880408,3.747948738032868e-17,-0.12440950726880408,-1.3541886304668923e-16,0.134672961649935,-1.5265497584657554e-16,-0.13467296164993517,0.47130177709359483,0.7454859286511305,0.47130177709359466,500.0,160.7142857142859,[0.37342994]
-5.876905170463468e-17,-0.09526908449836162,-1.552587900387736e-17,-0.09526908449836162,-3.98290773666733e-18,-0.04185661912331692,-1.552587900387736e-17,-0.04185661912331692,-5.593000902367508e-17,0.10405851731401122,-4.5078191556208535e-17,-0.10405851731401138,0.6751553031284755,0.29720469934876975,0.6751553031284756,500.0,173.57142857142824,[0.26347132]
-2.0446316555534742e-18,-0.10206772486438713,-3.9336572375598006e-17,-0.10206772486438713,9.60510215895755e-18,0.05172414258432118,-3.9336572375598006e-17,0.05172414258432118,2.963630639588868e-17,0.11442555389892349,-5.549681019320278e-18,-0.11442555389892343,0.6625619395888918,0.3493184112187784,0.6625619395888918,500.0,173.57142857142824,[0.26599176]
5.854765846804609e-17,-0.06975291757835908,-8.864411551253067e-17,-0.06975291757835908,7.283728957668335e-18,0.13908903033130887,-8.864411551253067e-17,0.13908903033130887,1.1450751216822208e-16,0.15559957541457856,-1.0057030365410546e-18,-0.15559957541457844,0.507958588898476,0.6956695651877677,0.5079585888984759,500.0,160.7142857142859,[0.36511682]
8.145100584532874e-17,-0.004033584104868555,-7.385265295141157e-17,-0.004033584104868555,6.6091036111272374e-18,0.20375276352295724,-7.385265295141157e-17,0.20375276352295724,9.708337608126618e-17,0.20379268496188285,8.326672684688674e-17,-0.20379268496188266,0.38798009793422666,0.8360280421217318,0.3879800979342262,500.0,147.85714285714297,[0.81353771]
1.3941954193163665e-16,0.08226345680027128,-1.2048473954045526e-17,0.08226345680027128,-1.1308927957513664e-18,0.23310718153199195,-1.2048473954045526e-17,0.23310718153199195,7.412183158480674e-17,0.24719675241903796,1.2752180086762312e-16,-0.24719675241903788,0.30510862957458307,0.9021183117076385,0.30510862957458273,500.0,135.00000000000009,[0.91295464]
1.4410264647630154e-16,0.17217020689730803,-6.466899238691216e-17,0.17217020689730803,-8.0883397404127e-18,0.22122622669150874,-6.466899238691216e-17,0.22122622669150874,1.1493145918935806e-16,0.28032770736982937,2.058781334063433e-16,-0.28032770736982937,0.2414406803473671,0.9399004179948007,0.24144068034736652,500.0,122.14285714285697,[0.91596429]
8.953962537958364e-17,0.24795408002421968,5.446133087263188e-18,0.24795408002421968,-1.6761844985624948e-18,0.17025267161765595,5.446133087263188e-18,0.17025267161765595,3.578263099202363e-17,0.300777655409451,3.1081275451399525e-17,-0.300777655409451,0.18526402669171654,0.965067086179993,0.1852640266917165,500.0,109.2857142857147,[0.94642637]
