stress_11,stress_12,stress_13,stress_21,stress_22,stress_23,stress_31,stress_32,stress_33,e1,e2,e3,anev1,anev2,anev3,temp,miss,velo
2.4277287757288333e-17,-0.10695686457358429,-4.1213582083872203e-17,-0.10695686457358429,-1.0570441786141634e-17,-0.04376985021323975,-4.1213582083872203e-17,-0.04376985021323975,2.471790370853818e-17,0.11556630420283202,5.261005024884534e-17,-0.11556630420283195,0.4689267355109307,0.748475406039586,0.46892673551093084,100.0,109.28571428571416,[0.39503203]
2.3567527087048432e-17,0.009717771855924963,-3.9475519693352826e-17,0.009717771855924963,-5.866920769597708e-18,-0.02750528404773133,-3.9475519693352826e-17,-0.02750528404773133,2.6605172524359568e-17,0.029171488484309324,-4.199203144543206e-18,-0.02917148848430929,0.5515055122473369,0.625846099230158,0.5515055122473373,100.0,109.28571428571416,[0.26229699]
2.1991728167800213e-17,0.0332580054549035,-3.8146286977889567e-17,0.0332580054549035,-4.953131038187928e-18,-0.01919310471405968,-3.8146286977889567e-17,-0.01919310471405968,2.5978976948322225e-17,0.038398830651508765,-9.947884563309305e-18,-0.038398830651508786,0.13132751612766383,0.9826017336721307,0.13132751612766294,100.0,109.28571428571416,[0.30288387]
2.030089158640302e-17,0.042819331696407205,-3.6942588432958273e-17,0.042819331696407205,-4.5537550035575254e-18,-0.015608339216045488,-3.6942588432958273e-17,-0.015608339216045488,2.4793871975995052e-17,0.04557538173191845,1.4198056267403216e-19,-0.045575381731918434,0.009155811780158046,0.9999161675967104,0.009155811780157069,100.0,109.28571428571416,[0.31487292]
1.8564474044531704e-17,0.047690105663218546,-3.5785666331281395e-17,0.047690105663218546,-4.332361766968933e-18,-0.013891837888507456,-3.5785666331281395e-17,-0.013891837888507456,2.3402567420570657e-17,0.04967221897690423,3.748642222298833e-18,-0.04967221897690418,0.03756408713520478,0.998587942404372,0.03756408713520567,100.0,109.28571428571416,[0.28666271]
1.6828056502660388e-17,0.050332027389259425,-3.4651102301176365e-17,0.050332027389259425,-4.158720012781801e-18,-0.013118582995255076,-3.4651102301176365e-17,-0.013118582995255076,2.1919015683234352e-17,0.05201355785674111,4.667067338427868e-18,-0.05201355785674114,0.057657724549539345,0.9966700424912647,0.057657724549540185,100.0,109.28571428571416,[0.28666271]
1.5065592697661003e-17,0.051651862226095954,-3.353210498301897e-17,0.051651862226095954,-4.0588760041242004e-18,-0.012927386055864238,-3.353210498301897e-17,-0.012927386055864238,2.037903037578723e-17,0.053245020252235334,4.2104105487500715e-18,-0.05324502025223534,0.06450989884768847,0.9958297775731163,0.06450989884768923,100.0,109.28571428571416,[0.28666271]
1.3277082629533549e-17,0.05202705038941551,-3.2417262179488124e-17,0.05202705038941551,-3.987248780522009e-18,-0.013169028657859141,-3.2417262179488124e-17,-0.013169028657859141,1.8790208324974975e-17,0.05366784221500149,2.8981788637218843e-18,-0.053667842215001475,0.06262921162957875,0.9960698588459117,0.0626292116295795,100.0,109.28571428571416,[0.28666271]
1.149508412718811e-17,0.05159252202016052,-3.132244583217749e-17,0.05159252202016052,-3.926474166556513e-18,-0.013798821094675059,-3.132244583217749e-17,-0.013798821094675059,1.717968105488933e-17,0.05340595277685439,1.1615478842717683e-18,-0.053405952776854386,0.05316549171793919,0.9971694244113078,0.05316549171793992,100.0,109.28571428571416,[0.28666271]
9.700062493278637e-18,0.05032458194525651,-3.022603126852583e-17,0.05032458194525651,-3.904768947283121e-18,-0.014846385264374302,-3.022603126852583e-17,-0.014846385264374302,1.5535510694929928e-17,0.05246883554437881,-1.2920751832264434e-18,-0.05246883554437881,0.035145889228394955,0.9987640026255906,0.035145889228395795,100.0,109.28571428571416,[0.28666271]
7.887676683950452e-18,0.04803335396695327,-2.914847311411793e-17,0.04803335396695327,-3.900427903428443e-18,-0.01642512559742311,-2.914847311411793e-17,-0.01642512559742311,1.3849015157387414e-17,0.05076404085773464,-4.7201267568034404e-18,-0.05076404085773463,0.00502859495270477,0.9999747129130833,0.0050285949527054535,100.0,109.28571428571416,[0.30825092]
6.079631918476944e-18,0.04425790613992748,-2.8087734384996586e-17,0.04425790613992748,-3.956861473539261e-18,-0.018788756524097516,-2.8087734384996586e-17,-0.018788756524097516,1.2114768137443436e-17,0.048080969495346584,-9.188200636706865e-18,-0.04808096949534658,0.04583945463251997,0.9978965321104121,0.04583945463251918,100.0,109.28571428571416,[0.28666271]
4.21298306096528e-18,0.03793169352011456,-2.706454102198751e-17,0.03793169352011456,-4.080581223397592e-18,-0.022498587117880303,-2.706454102198751e-17,-0.022498587117880303,1.0294785501369563e-17,0.04410215182510658,-1.7593624309547894e-17,-0.044102151825106566,0.13961867172076925,0.9803128342594808,0.13961867172076856,100.0,109.28571428571416,[0.29430031]
2.3333110718895805e-18,0.026207522770415416,-2.6103005107302068e-17,0.026207522770415416,-4.371431161661037e-18,-0.028962680554362054,-2.6103005107302068e-17,-0.028962680554362054,8.282711674726176e-18,0.039059840177039465,-1.8600339871844338e-17,-0.03905984017703941,0.3381960266116983,0.878206635802827,0.33819602661169834,100.0,109.28571428571416,[0.25512039]
2.430984558619842e-19,-0.001468196057872616,-2.532789455788167e-17,-0.001468196057872616,-5.178865318631199e-18,-0.042625964036587055,-2.532789455788167e-17,-0.042625964036587055,5.764906239012768e-18,0.042651241596379896,-6.938893903907228e-18,-0.04265124159637991,0.6750700520127247,0.29759175013947253,0.6750700520127246,100.0,109.28571428571416,[0.19624887]
-2.9497392992538975e-18,-0.12985825621263125,-2.5257831636215393e-17,-0.12985825621263125,-9.782542326517525e-18,-0.07374209502988371,-2.5257831636215393e-17,-0.07374209502988371,9.66967518629589e-19,0.14933540533303474,2.175284511260422e-17,-0.14933540533303455,0.5326589758464222,0.657684446296612,0.5326589758464223,100.0,109.28571428571416,[0.41662596]
2.3762874060508955e-17,-0.10397377229033669,-3.957566893165646e-17,-0.10397377229033669,-1.0418505251227894e-17,-0.03743423857880497,-3.957566893165646e-17,-0.03743423857880497,2.3491558819591562e-17,0.11050731895335116,4.925166294656608e-17,-0.11050731895335117,0.31251556338208625,0.8970329120427825,0.31251556338208675,100.0,96.42857142857144,[0.42800764]
2.182242745746776e-17,0.013276808444706788,-3.5107039084936765e-17,0.013276808444706788,-5.40459959907447e-18,-0.01974241455061959,-3.5107039084936765e-17,-0.01974241455061959,2.3197453098437108e-17,0.023791523170363756,-7.409178338397569e-18,-0.02379152317036369,0.5388928448613809,0.647448070129501,0.5388928448613808,100.0,96.42857142857144,[0.30748715]
1.900508999578155e-17,0.03618459895041369,-3.102927275716369e-17,0.03618459895041369,-4.197789407473906e-18,-0.012505284834247704,-3.102927275716369e-17,-0.012505284834247704,2.037251881000521e-17,0.03828455759164453,9.743302983309712e-19,-0.03828455759164445,0.15468916815614628,0.9757779063446351,0.15468916815614525,100.0,96.42857142857144,[0.29644432]
1.6081396959655722e-17,0.04562182480721993,-2.7043160109213027e-17,0.04562182480721993,-3.485858215306666e-18,-0.008938284176974289,-2.7043160109213027e-17,-0.008938284176974289,1.6971310949864772e-17,0.046489179631060557,6.711246200482944e-18,-0.04648917963106054,0.05740394462950503,0.9966993399626318,0.057403944629504246,100.0,96.42857142857144,[0.32587542]
1.3125146094619809e-17,0.05060412788444784,-2.3091504496858866e-17,0.05060412788444784,-2.9519098211812367e-18,-0.00675000239404834,-2.3091504496858866e-17,-0.00675000239404834,1.3370415072409132e-17,0.05105232895045251,7.334269591216598e-18,-0.051052328950452495,0.014428130987435336,0.9997918073641228,0.014428130987434756,100.0,96.42857142857144,[0.33322276]
1.0162383663801875e-17,0.05349346680932684,-1.9153889448222183e-17,0.05349346680932684,-2.4852476068033206e-18,-0.005223105693548878,-1.9153889448222183e-17,-0.005223105693548878,9.663163620513872e-18,0.05374785413731916,5.958384039824638e-18,-0.05374785413731913,0.010513013523168758,0.9998894704382697,0.010513013523169268,100.0,96.42857142857144,[0.33147254]
7.171404447928534e-18,0.05516217859737292,-1.5227110052019638e-17,0.05516217859737292,-2.072848440608883e-18,-0.004068232139626147,-1.5227110052019638e-17,-0.004068232139626147,5.903819642362473e-18,0.0553119920121338,3.6779850826656445e-18,-0.0553119920121338,0.02727526834612501,0.9992557828070318,0.027275268346125398,100.0,96.42857142857144,[0.3394651]
4.197789407473906e-18,0.05598197925557258,-1.1299821939740374e-17,0.05598197925557258,-1.6973481471792113e-18,-0.00314829906609895,-1.1299821939740374e-17,-0.00314829906609895,2.098894703736953e-18,0.056070435956758514,8.400291528036684e-19,-0.056070435956758514,0.03959224604184687,0.9984312235235453,0.03959224604184714,100.0,96.42857142857144,[0.32587542]
1.1937870600365295e-18,0.05610062417847551,-7.385268686581669e-18,0.05610062417847551,-1.334870985313574e-18,-0.002392191676553608,-7.385268686581669e-18,-0.002392191676553608,-1.742929107653333e-18,0.056151603843807754,-2.3668331577030945e-18,-0.05615160384380775,0.049163949544150966,0.997579977811524,0.04916394954415115,100.0,96.42857142857144,[0.32587542]
