Misorientation Angle (degrees),Predicted Velocity (A/ps)
109.28571428571416,[1.58399782]
109.28571428571416,[1.62076988]
109.28571428571416,[1.63572627]
109.28571428571416,[1.62880923]
109.28571428571416,[1.62880923]
109.28571428571416,[1.62880923]
109.28571428571416,[1.62880923]
109.28571428571416,[1.62880923]
109.28571428571416,[1.62880923]
109.28571428571416,[1.62880923]
109.28571428571416,[1.62880923]
109.28571428571416,[1.62880923]
109.28571428571416,[1.64556111]
109.28571428571416,[1.64044992]
109.28571428571416,[1.58246043]
109.28571428571416,[1.54956039]
96.42857142857144,[1.60269905]
96.42857142857144,[1.61699946]
96.42857142857144,[1.63201057]
96.42857142857144,[1.62295288]
96.42857142857144,[1.62295288]
96.42857142857144,[1.61793207]
96.42857142857144,[1.61793207]
96.42857142857144,[1.61793207]
96.42857142857144,[1.61793207]
96.42857142857144,[1.61793207]
96.42857142857144,[1.61793207]
96.42857142857144,[1.61771672]
96.42857142857144,[1.61761885]
96.42857142857144,[1.63450482]
96.42857142857144,[1.60515257]
96.42857142857144,[1.56544213]
122.14285714285735,[1.53678337]
122.14285714285735,[1.58255333]
122.14285714285735,[1.60685212]
122.14285714285735,[1.6292363]
122.14285714285735,[1.61428477]
122.14285714285735,[1.61088792]
122.14285714285735,[1.61088792]
122.14285714285735,[1.61088792]
122.14285714285735,[1.61088792]
122.14285714285735,[1.61088792]
122.14285714285735,[1.62314173]
122.14285714285735,[1.62685769]
122.14285714285735,[1.60809164]
122.14285714285735,[1.61085391]
122.14285714285735,[1.57069188]
122.14285714285735,[1.5288269]
135.00000000000023,[1.52912464]
135.00000000000023,[1.57144912]
135.00000000000023,[1.59132326]
135.00000000000023,[1.6029655]
135.00000000000023,[1.60109688]
135.00000000000023,[1.61125964]
135.00000000000023,[1.61125964]
135.00000000000023,[1.61125964]
135.00000000000023,[1.61125964]
135.00000000000023,[1.61125964]
135.00000000000023,[1.61125964]
135.00000000000023,[1.60109688]
135.00000000000023,[1.6029655]
135.00000000000023,[1.56996725]
135.00000000000023,[1.57144912]
135.00000000000023,[1.42362818]
147.8571428571427,[1.40041709]
147.8571428571427,[1.47400801]
147.8571428571427,[1.40491603]
147.8571428571427,[1.39339448]
147.8571428571427,[1.39339448]
147.8571428571427,[1.39339448]
147.8571428571427,[1.39339448]
147.8571428571427,[1.39339448]
147.8571428571427,[1.39390923]
147.8571428571427,[1.39339448]
147.8571428571427,[1.39339448]
147.8571428571427,[1.39339448]
147.8571428571427,[1.39706976]
147.8571428571427,[1.39706976]
147.8571428571427,[1.43063841]
147.8571428571427,[1.36363352]
160.7142857142859,[1.29990088]
160.7142857142859,[0.90635026]
160.7142857142859,[0.91330262]
160.7142857142859,[0.91330262]
160.7142857142859,[0.90619625]
160.7142857142859,[0.90619625]
160.7142857142859,[0.90619625]
160.7142857142859,[0.90619625]
160.7142857142859,[0.90679046]
160.7142857142859,[0.90679046]
160.7142857142859,[0.90679046]
160.7142857142859,[0.90619625]
160.7142857142859,[0.90619625]
160.7142857142859,[0.90946291]
160.7142857142859,[0.91671697]
160.7142857142859,[1.23768456]
173.57142857142813,[0.47864561]
173.57142857142813,[0.34950068]
173.57142857142813,[0.34224662]
173.57142857142813,[0.34224662]
173.57142857142813,[0.34224662]
173.57142857142813,[0.34224662]
173.57142857142813,[0.34224662]
173.57142857142813,[0.35344917]
173.57142857142813,[0.35344917]
173.57142857142813,[0.34224662]
173.57142857142813,[0.34224662]
173.57142857142813,[0.34224662]
173.57142857142813,[0.34224662]
173.57142857142813,[0.34224662]
