Misorientation Angle (degrees),Predicted Velocity (A/ps)
109.28571428571416,[0.16845377]
109.28571428571416,[0.2950379]
109.28571428571416,[0.56755688]
109.28571428571416,[0.58602793]
109.28571428571416,[0.57048553]
109.28571428571416,[0.56796306]
109.28571428571416,[0.56299996]
109.28571428571416,[0.56796306]
109.28571428571416,[0.57048553]
109.28571428571416,[0.57376054]
109.28571428571416,[0.58602793]
109.28571428571416,[0.5725224]
109.28571428571416,[0.56727612]
109.28571428571416,[0.30315709]
109.28571428571416,[0.29447698]
109.28571428571416,[0.23907006]
96.42857142857144,[0.1534558]
96.42857142857144,[0.2919686]
96.42857142857144,[0.57275026]
96.42857142857144,[0.57105441]
96.42857142857144,[0.57105441]
96.42857142857144,[0.56294387]
96.42857142857144,[0.60309206]
96.42857142857144,[0.60496502]
96.42857142857144,[0.60496502]
96.42857142857144,[0.60121372]
96.42857142857144,[0.55900641]
96.42857142857144,[0.56711695]
96.42857142857144,[0.56711695]
96.42857142857144,[0.56711695]
96.42857142857144,[0.28243009]
96.42857142857144,[0.16346313]
122.14285714285735,[0.21581295]
122.14285714285735,[0.27631613]
122.14285714285735,[0.2932502]
122.14285714285735,[0.5431259]
122.14285714285735,[0.54303135]
122.14285714285735,[0.54544216]
122.14285714285735,[0.54416593]
122.14285714285735,[0.54416593]
122.14285714285735,[0.54416593]
122.14285714285735,[0.54544216]
122.14285714285735,[0.54303135]
122.14285714285735,[0.5431259]
122.14285714285735,[0.28986327]
122.14285714285735,[0.28428072]
122.14285714285735,[0.27520114]
122.14285714285735,[0.21607186]
135.00000000000023,[0.25693064]
135.00000000000023,[0.26936769]
135.00000000000023,[0.25930754]
135.00000000000023,[0.2745653]
135.00000000000023,[0.26821633]
135.00000000000023,[0.35689859]
135.00000000000023,[0.53604676]
135.00000000000023,[0.53604676]
135.00000000000023,[0.53604676]
135.00000000000023,[0.37606109]
135.00000000000023,[0.26583051]
135.00000000000023,[0.2756255]
135.00000000000023,[0.2620474]
135.00000000000023,[0.26847162]
135.00000000000023,[0.27078524]
135.00000000000023,[0.20155478]
147.8571428571427,[0.24932352]
147.8571428571427,[0.2655552]
147.8571428571427,[0.27452707]
147.8571428571427,[0.26132474]
147.8571428571427,[0.26436086]
147.8571428571427,[0.26774407]
147.8571428571427,[0.28026197]
147.8571428571427,[0.28026197]
147.8571428571427,[0.28026197]
147.8571428571427,[0.26774407]
147.8571428571427,[0.26774407]
147.8571428571427,[0.26774407]
147.8571428571427,[0.26132474]
147.8571428571427,[0.2655153]
147.8571428571427,[0.24146165]
147.8571428571427,[0.14054872]
160.7142857142859,[0.21105457]
160.7142857142859,[0.23367135]
160.7142857142859,[0.25253337]
160.7142857142859,[0.26708649]
160.7142857142859,[0.26894805]
160.7142857142859,[0.26894805]
160.7142857142859,[0.26894805]
160.7142857142859,[0.26894805]
160.7142857142859,[0.26894805]
160.7142857142859,[0.26894805]
160.7142857142859,[0.26894805]
160.7142857142859,[0.26894805]
160.7142857142859,[0.25508973]
160.7142857142859,[0.25322816]
160.7142857142859,[0.14677167]
160.7142857142859,[0.10467094]
173.57142857142813,[0.13540464]
173.57142857142813,[0.14193531]
173.57142857142813,[0.19857069]
173.57142857142813,[0.13843699]
173.57142857142813,[0.13642674]
173.57142857142813,[0.13448354]
173.57142857142813,[0.13484837]
173.57142857142813,[0.13484837]
173.57142857142813,[0.13484837]
173.57142857142813,[0.13484837]
173.57142857142813,[0.13484837]
173.57142857142813,[0.13484837]
173.57142857142813,[0.13484837]
173.57142857142813,[0.12748378]
173.57142857142813,[0.07248192]
173.57142857142813,[0.13914012]
173.57142857142813,[0.13914012]
173.57142857142813,[0.09180262]
173.57142857142813,[0.12748378]
173.57142857142813,[0.13484837]
173.57142857142813,[0.13484837]
173.57142857142813,[0.13484837]
173.57142857142813,[0.13484837]
173.57142857142813,[0.13484837]
173.57142857142813,[0.13484837]
173.57142857142813,[0.13448354]
173.57142857142813,[0.13540464]
173.57142857142813,[0.1408144]
173.57142857142813,[0.13843699]
173.57142857142813,[0.19857069]
173.57142857142813,[0.14284551]
173.57142857142813,[0.1408144]
160.7142857142859,[0.10330679]
160.7142857142859,[0.145145]
160.7142857142859,[0.25413837]
