Misorientation Angle (degrees),Predicted Velocity (A/ps)
109.28571428571416,[0.20510359]
109.28571428571416,[0.36234007]
109.28571428571416,[0.7481303]
109.28571428571416,[0.76073003]
109.28571428571416,[0.74457362]
109.28571428571416,[0.74205116]
109.28571428571416,[0.73708806]
109.28571428571416,[0.74205116]
109.28571428571416,[0.74457362]
109.28571428571416,[0.74784864]
109.28571428571416,[0.76073003]
109.28571428571416,[0.75154861]
109.28571428571416,[0.75178836]
109.28571428571416,[0.36967024]
109.28571428571416,[0.36564093]
109.28571428571416,[0.27680197]
96.42857142857144,[0.19608504]
96.42857142857144,[0.35282767]
96.42857142857144,[0.75080532]
96.42857142857144,[0.75080532]
96.42857142857144,[0.75080532]
96.42857142857144,[0.74269478]
96.42857142857144,[0.77910246]
96.42857142857144,[0.78097542]
96.42857142857144,[0.78097542]
96.42857142857144,[0.77562446]
96.42857142857144,[0.73489553]
96.42857142857144,[0.74300607]
96.42857142857144,[0.74300607]
96.42857142857144,[0.74300607]
96.42857142857144,[0.34806684]
96.42857142857144,[0.20235669]
122.14285714285735,[0.25495633]
122.14285714285735,[0.34627668]
122.14285714285735,[0.35440733]
122.14285714285735,[0.71423808]
122.14285714285735,[0.71436694]
122.14285714285735,[0.71677775]
122.14285714285735,[0.71550152]
122.14285714285735,[0.71550152]
122.14285714285735,[0.71550152]
122.14285714285735,[0.71677775]
122.14285714285735,[0.71436694]
122.14285714285735,[0.71423808]
122.14285714285735,[0.3510204]
122.14285714285735,[0.34666959]
122.14285714285735,[0.34105646]
122.14285714285735,[0.25935959]
135.00000000000023,[0.30821095]
135.00000000000023,[0.33175656]
135.00000000000023,[0.32923125]
135.00000000000023,[0.34369999]
135.00000000000023,[0.33852855]
135.00000000000023,[0.46123347]
135.00000000000023,[0.71334024]
135.00000000000023,[0.71334024]
135.00000000000023,[0.71334024]
135.00000000000023,[0.48039596]
135.00000000000023,[0.33614273]
135.00000000000023,[0.34593772]
135.00000000000023,[0.33197111]
135.00000000000023,[0.33702056]
135.00000000000023,[0.33683099]
135.00000000000023,[0.22642521]
147.8571428571427,[0.31911061]
147.8571428571427,[0.32663842]
147.8571428571427,[0.34620747]
147.8571428571427,[0.33300514]
147.8571428571427,[0.33604126]
147.8571428571427,[0.33942447]
147.8571428571427,[0.35115335]
147.8571428571427,[0.35115335]
147.8571428571427,[0.35115335]
147.8571428571427,[0.33942447]
147.8571428571427,[0.33942447]
147.8571428571427,[0.33942447]
147.8571428571427,[0.33300514]
147.8571428571427,[0.3371957]
147.8571428571427,[0.27156231]
147.8571428571427,[0.15895755]
160.7142857142859,[0.25052211]
160.7142857142859,[0.27183261]
160.7142857142859,[0.31874572]
160.7142857142859,[0.33647063]
160.7142857142859,[0.33833219]
160.7142857142859,[0.33833219]
160.7142857142859,[0.33833219]
160.7142857142859,[0.33833219]
160.7142857142859,[0.33833219]
160.7142857142859,[0.33833219]
160.7142857142859,[0.33833219]
160.7142857142859,[0.33833219]
160.7142857142859,[0.32447386]
160.7142857142859,[0.3226123]
160.7142857142859,[0.18501309]
160.7142857142859,[0.10925315]
173.57142857142813,[0.15432422]
173.57142857142813,[0.17977779]
173.57142857142813,[0.2301921]
173.57142857142813,[0.15894443]
173.57142857142813,[0.15534632]
173.57142857142813,[0.15340312]
173.57142857142813,[0.15376795]
173.57142857142813,[0.15376795]
173.57142857142813,[0.15376795]
173.57142857142813,[0.15376795]
173.57142857142813,[0.15376795]
173.57142857142813,[0.15376795]
173.57142857142813,[0.15376795]
173.57142857142813,[0.14640336]
173.57142857142813,[0.08732126]
173.57142857142813,[0.15782611]
173.57142857142813,[0.15782611]
173.57142857142813,[0.10893784]
173.57142857142813,[0.14640336]
173.57142857142813,[0.15376795]
173.57142857142813,[0.15376795]
173.57142857142813,[0.15376795]
173.57142857142813,[0.15376795]
173.57142857142813,[0.15376795]
173.57142857142813,[0.15376795]
173.57142857142813,[0.15340312]
173.57142857142813,[0.15432422]
173.57142857142813,[0.16132183]
173.57142857142813,[0.15894443]
173.57142857142813,[0.2301921]
173.57142857142813,[0.18068799]
173.57142857142813,[0.16132183]
160.7142857142859,[0.107889]
160.7142857142859,[0.18338642]
160.7142857142859,[0.3235225]
160.7142857142859,[0.32447386]
160.7142857142859,[0.33833219]
160.7142857142859,[0.33833219]
160.7142857142859,[0.33833219]
160.7142857142859,[0.33833219]
160.7142857142859,[0.33833219]
160.7142857142859,[0.33833219]
160.7142857142859,[0.33833219]
160.7142857142859,[0.33833219]
160.7142857142859,[0.33647063]
160.7142857142859,[0.31823097]
160.7142857142859,[0.24306851]
160.7142857142859,[0.25052211]
147.85714285714295,[0.15895755]
147.85714285714295,[0.24548057]
147.85714285714295,[0.3348986]
147.85714285714295,[0.3375322]
147.85714285714295,[0.33300514]
147.85714285714295,[0.33942447]
147.85714285714295,[0.33942447]
147.85714285714295,[0.33942447]
147.85714285714295,[0.33942447]
147.85714285714295,[0.33942447]
147.85714285714295,[0.33942447]
147.85714285714295,[0.33300514]
147.85714285714295,[0.35105402]
147.85714285714295,[0.34768934]
147.85714285714295,[0.32531581]
147.85714285714295,[0.31911061]
134.9999999999996,[0.15892511]
134.9999999999996,[0.34302302]
134.9999999999996,[0.33316958]
134.9999999999996,[0.32939558]
134.9999999999996,[0.33197111]
134.9999999999996,[0.3436241]
134.9999999999996,[0.33614273]
134.9999999999996,[0.37221177]
134.9999999999996,[0.46123347]
134.9999999999996,[0.46123347]
134.9999999999996,[0.33852855]
134.9999999999996,[0.338514]
134.9999999999996,[0.340225]
134.9999999999996,[0.33702056]
134.9999999999996,[0.32023697]
134.9999999999996,[0.30821095]
122.14285714285755,[0.26039737]
122.14285714285755,[0.34506524]
122.14285714285755,[0.35041335]
122.14285714285755,[0.35942509]
122.14285714285755,[0.7112881]
122.14285714285755,[0.71423808]
122.14285714285755,[0.71370315]
122.14285714285755,[0.71314988]
122.14285714285755,[0.71314988]
122.14285714285755,[0.71314988]
122.14285714285755,[0.71370315]
122.14285714285755,[0.71423808]
122.14285714285755,[0.7112881]
122.14285714285755,[0.3608207]
122.14285714285755,[0.35955739]
122.14285714285755,[0.28191193]
109.28571428571402,[0.30483751]
109.28571428571402,[0.36615686]
109.28571428571402,[0.36927129]
109.28571428571402,[0.75789762]
109.28571428571402,[0.7592321]
109.28571428571402,[0.74728693]
109.28571428571402,[0.7481303]
109.28571428571402,[0.74631509]
109.28571428571402,[0.75154861]
109.28571428571402,[0.75154861]
109.28571428571402,[0.75154861]
109.28571428571402,[0.7481303]
109.28571428571402,[0.74728693]
109.28571428571402,[0.75894764]
109.28571428571402,[0.36046106]
109.28571428571402,[0.18485937]
96.42857142857196,[0.1995892]
96.42857142857196,[0.35586608]
96.42857142857196,[0.7408143]
96.42857142857196,[0.75191625]
96.42857142857196,[0.75080532]
96.42857142857196,[0.75015026]
96.42857142857196,[0.77839455]
96.42857142857196,[0.77839455]
96.42857142857196,[0.77839455]
96.42857142857196,[0.77839455]
96.42857142857196,[0.74269478]
96.42857142857196,[0.75080532]
96.42857142857196,[0.75080532]
96.42857142857196,[0.75080532]
96.42857142857196,[0.35586608]
96.42857142857196,[0.19803144]
83.57142857142804,[0.1987338]
83.57142857142804,[0.34038933]
83.57142857142804,[0.73826114]
83.57142857142804,[0.73826114]
83.57142857142804,[0.73532856]
83.57142857142804,[0.72721802]
83.57142857142804,[0.76877448]
83.57142857142804,[0.77097038]
83.57142857142804,[0.7756766]
83.57142857142804,[0.77728163]
83.57142857142804,[0.73603839]
83.57142857142804,[0.74344102]
83.57142857142804,[0.74344102]
83.57142857142804,[0.74344102]
83.57142857142804,[0.3446874]
83.57142857142804,[0.17550402]
70.71428571428592,[0.19382336]
70.71428571428592,[0.33544682]
70.71428571428592,[0.72929047]
70.71428571428592,[0.73513]
70.71428571428592,[0.72356157]
70.71428571428592,[0.70352013]
70.71428571428592,[0.69855339]
70.71428571428592,[0.70352013]
70.71428571428592,[0.70904809]
70.71428571428592,[0.72933252]
70.71428571428592,[0.73391942]
70.71428571428592,[0.74445725]
70.71428571428592,[0.72516725]
70.71428571428592,[0.34302039]
70.71428571428592,[0.33813144]
70.71428571428592,[0.2423511]
57.857142857142705,[0.24691422]
57.857142857142705,[0.33003005]
57.857142857142705,[0.34738979]
57.857142857142705,[0.69877041]
57.857142857142705,[0.70118122]
57.857142857142705,[0.69990499]
57.857142857142705,[0.69829097]
57.857142857142705,[0.69829097]
57.857142857142705,[0.69990499]
57.857142857142705,[0.69990499]
57.857142857142705,[0.70118122]
57.857142857142705,[0.69877041]
57.857142857142705,[0.33877518]
57.857142857142705,[0.33506947]
57.857142857142705,[0.30615405]
57.857142857142705,[0.24839573]
45.00000000000011,[0.29371445]
45.00000000000011,[0.31199441]
45.00000000000011,[0.3146781]
45.00000000000011,[0.32645804]
45.00000000000011,[0.33466995]
45.00000000000011,[0.35029564]
45.00000000000011,[0.6770441]
