Misorientation Angle (degrees),Predicted Velocity (A/ps)
109.28571428571416,[1.58561898]
109.28571428571416,[1.59749979]
109.28571428571416,[1.59693693]
109.28571428571416,[1.59693693]
109.28571428571416,[1.59827735]
109.28571428571416,[1.59827735]
109.28571428571416,[1.59827735]
109.28571428571416,[1.59827735]
109.28571428571416,[1.59827735]
109.28571428571416,[1.59827735]
109.28571428571416,[1.59693693]
109.28571428571416,[1.59693693]
109.28571428571416,[1.59693693]
109.28571428571416,[1.59749979]
109.28571428571416,[1.60166058]
109.28571428571416,[1.5906537]
96.42857142857144,[1.57569701]
96.42857142857144,[1.5727224]
96.42857142857144,[1.57343032]
96.42857142857144,[1.57343032]
96.42857142857144,[1.56878494]
96.42857142857144,[1.56878494]
96.42857142857144,[1.56878494]
96.42857142857144,[1.56878494]
96.42857142857144,[1.56878494]
96.42857142857144,[1.56878494]
96.42857142857144,[1.56871073]
96.42857142857144,[1.56847173]
96.42857142857144,[1.56696618]
96.42857142857144,[1.56696618]
96.42857142857144,[1.56871073]
96.42857142857144,[1.56696618]
122.14285714285735,[1.59737261]
122.14285714285735,[1.59788508]
122.14285714285735,[1.58119998]
122.14285714285735,[1.58119998]
122.14285714285735,[1.58119998]
122.14285714285735,[1.58002093]
122.14285714285735,[1.58002093]
122.14285714285735,[1.58002093]
122.14285714285735,[1.58002093]
122.14285714285735,[1.58002093]
122.14285714285735,[1.58119998]
122.14285714285735,[1.58119998]
122.14285714285735,[1.58119998]
122.14285714285735,[1.59512281]
122.14285714285735,[1.59788508]
122.14285714285735,[1.57669476]
135.00000000000023,[1.53173383]
135.00000000000023,[1.59469003]
135.00000000000023,[1.59529101]
135.00000000000023,[1.59529101]
135.00000000000023,[1.59529101]
135.00000000000023,[1.59529101]
135.00000000000023,[1.59529101]
135.00000000000023,[1.59529101]
135.00000000000023,[1.59529101]
135.00000000000023,[1.59529101]
135.00000000000023,[1.59529101]
135.00000000000023,[1.59529101]
135.00000000000023,[1.59529101]
135.00000000000023,[1.59529101]
135.00000000000023,[1.59469003]
135.00000000000023,[1.50963313]
147.8571428571427,[1.48333106]
147.8571428571427,[1.40314927]
147.8571428571427,[1.39177988]
147.8571428571427,[1.39177988]
147.8571428571427,[1.39229463]
147.8571428571427,[1.39229463]
147.8571428571427,[1.39229463]
147.8571428571427,[1.39229463]
147.8571428571427,[1.39229463]
147.8571428571427,[1.39229463]
147.8571428571427,[1.39229463]
147.8571428571427,[1.39229463]
147.8571428571427,[1.39229463]
147.8571428571427,[1.39177988]
147.8571428571427,[1.39177988]
147.8571428571427,[1.38370334]
160.7142857142859,[1.18973774]
160.7142857142859,[0.86784413]
160.7142857142859,[0.86784413]
160.7142857142859,[0.86676125]
160.7142857142859,[0.86735546]
160.7142857142859,[0.86812184]
160.7142857142859,[0.86812184]
160.7142857142859,[0.86812184]
160.7142857142859,[0.87693544]
160.7142857142859,[0.87693544]
160.7142857142859,[0.87693544]
160.7142857142859,[0.86812184]
160.7142857142859,[0.86812184]
160.7142857142859,[0.86676125]
160.7142857142859,[0.86784413]
160.7142857142859,[0.79929709]
173.57142857142813,[0.3299397]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.32781176]
173.57142857142813,[0.32781176]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.38007266]
173.57142857142813,[0.33098632]
