Misorientation Angle (degrees),Predicted Velocity (A/ps)
109.28571428571416,[1.05677469]
109.28571428571416,[1.29048128]
109.28571428571416,[1.3169425]
109.28571428571416,[1.3154463]
109.28571428571416,[1.31394859]
109.28571428571416,[1.31332615]
109.28571428571416,[1.31332615]
109.28571428571416,[1.31332615]
109.28571428571416,[1.31394859]
109.28571428571416,[1.3154463]
109.28571428571416,[1.3154463]
109.28571428571416,[1.31816338]
109.28571428571416,[1.30350055]
109.28571428571416,[1.31790218]
109.28571428571416,[1.26486684]
109.28571428571416,[1.0614398]
96.42857142857144,[1.12080921]
96.42857142857144,[1.44921548]
96.42857142857144,[1.43651631]
96.42857142857144,[1.39724193]
96.42857142857144,[1.39724193]
96.42857142857144,[1.39724193]
96.42857142857144,[1.39724193]
96.42857142857144,[1.38423529]
96.42857142857144,[1.38423529]
96.42857142857144,[1.38423529]
96.42857142857144,[1.38423529]
96.42857142857144,[1.38423529]
96.42857142857144,[1.38416108]
96.42857142857144,[1.38423529]
96.42857142857144,[1.36751875]
96.42857142857144,[1.0809399]
122.14285714285735,[1.10930817]
122.14285714285735,[1.37401418]
122.14285714285735,[1.39384637]
122.14285714285735,[1.40025207]
122.14285714285735,[1.40221646]
122.14285714285735,[1.39821468]
122.14285714285735,[1.39821468]
122.14285714285735,[1.39945419]
122.14285714285735,[1.39821468]
122.14285714285735,[1.40016283]
122.14285714285735,[1.40221646]
122.14285714285735,[1.40025207]
122.14285714285735,[1.40116198]
122.14285714285735,[1.37245803]
122.14285714285735,[1.37239134]
122.14285714285735,[1.11528781]
135.00000000000023,[1.10507471]
135.00000000000023,[1.36669496]
135.00000000000023,[1.3747907]
135.00000000000023,[1.3682272]
135.00000000000023,[1.40032977]
135.00000000000023,[1.37523045]
135.00000000000023,[1.37511562]
135.00000000000023,[1.37511562]
135.00000000000023,[1.37511562]
135.00000000000023,[1.37602553]
135.00000000000023,[1.37523045]
135.00000000000023,[1.3682272]
135.00000000000023,[1.37786926]
135.00000000000023,[1.3747907]
135.00000000000023,[1.100675]
135.00000000000023,[1.1331074]
147.8571428571427,[1.07663253]
147.8571428571427,[0.78358632]
147.8571428571427,[1.29876723]
147.8571428571427,[1.29308247]
147.8571428571427,[1.29509345]
147.8571428571427,[1.26842497]
147.8571428571427,[1.26842497]
147.8571428571427,[1.27929376]
147.8571428571427,[1.26842497]
147.8571428571427,[1.26842497]
147.8571428571427,[1.27806703]
147.8571428571427,[1.27605605]
147.8571428571427,[1.29308247]
147.8571428571427,[1.30111457]
147.8571428571427,[0.78358632]
147.8571428571427,[0.5367836]
160.7142857142859,[0.55054985]
160.7142857142859,[0.77887097]
160.7142857142859,[0.89764477]
160.7142857142859,[0.89552567]
160.7142857142859,[0.89638969]
160.7142857142859,[0.89638969]
160.7142857142859,[0.89840067]
160.7142857142859,[0.89840067]
160.7142857142859,[0.89840067]
160.7142857142859,[0.89723689]
160.7142857142859,[0.89638969]
160.7142857142859,[0.89638969]
160.7142857142859,[0.89853027]
160.7142857142859,[0.90060615]
160.7142857142859,[0.77879518]
160.7142857142859,[0.49219868]
173.57142857142813,[0.48416601]
173.57142857142813,[0.40238802]
173.57142857142813,[0.32543829]
173.57142857142813,[0.3790236]
173.57142857142813,[0.378185]
173.57142857142813,[0.378185]
173.57142857142813,[0.378185]
173.57142857142813,[0.378185]
173.57142857142813,[0.378185]
173.57142857142813,[0.378185]
173.57142857142813,[0.378185]
173.57142857142813,[0.378185]
173.57142857142813,[0.3790236]
173.57142857142813,[0.31384809]
173.57142857142813,[0.34011108]
173.57142857142813,[0.20965816]
173.57142857142813,[0.20965816]
173.57142857142813,[0.34011108]
173.57142857142813,[0.31384809]
173.57142857142813,[0.3790236]
173.57142857142813,[0.378185]
173.57142857142813,[0.378185]
173.57142857142813,[0.378185]
173.57142857142813,[0.378185]
173.57142857142813,[0.378185]
173.57142857142813,[0.378185]
173.57142857142813,[0.378185]
173.57142857142813,[0.378185]
173.57142857142813,[0.3790236]
173.57142857142813,[0.32543829]
173.57142857142813,[0.39994947]
173.57142857142813,[0.48416601]
160.7142857142859,[0.49219868]
160.7142857142859,[0.78241359]
160.7142857142859,[0.94436799]
160.7142857142859,[0.89853027]
160.7142857142859,[0.89638969]
160.7142857142859,[0.89638969]
160.7142857142859,[0.89638969]
160.7142857142859,[0.89840067]
160.7142857142859,[0.89840067]
160.7142857142859,[0.89723689]
160.7142857142859,[0.89638969]
160.7142857142859,[0.89638969]
160.7142857142859,[0.89552567]
160.7142857142859,[0.89998057]
160.7142857142859,[0.77887097]
160.7142857142859,[0.55054985]
147.85714285714295,[0.54078539]
147.85714285714295,[0.78358632]
147.85714285714295,[1.30246753]
147.85714285714295,[1.29308247]
147.85714285714295,[1.29308247]
147.85714285714295,[1.27806703]
147.85714285714295,[1.27806703]
147.85714285714295,[1.26842497]
147.85714285714295,[1.26842497]
147.85714285714295,[1.26842497]
147.85714285714295,[1.29509345]
147.85714285714295,[1.29509345]
147.85714285714295,[1.29308247]
147.85714285714295,[1.32236073]
147.85714285714295,[0.77716699]
147.85714285714295,[1.09352852]
134.9999999999996,[1.13622873]
134.9999999999996,[1.100675]
134.9999999999996,[1.37392668]
134.9999999999996,[1.37563791]
134.9999999999996,[1.3682272]
134.9999999999996,[1.39071316]
134.9999999999996,[1.40032977]
134.9999999999996,[1.39778032]
134.9999999999996,[1.39778032]
134.9999999999996,[1.40032977]
134.9999999999996,[1.40032977]
134.9999999999996,[1.39071316]
134.9999999999996,[1.37680168]
134.9999999999996,[1.3747907]
134.9999999999996,[1.37781845]
134.9999999999996,[1.09028481]
122.14285714285755,[1.11580048]
122.14285714285755,[1.37239134]
122.14285714285755,[1.37335066]
122.14285714285755,[1.38204559]
122.14285714285755,[1.40025207]
122.14285714285755,[1.40221646]
122.14285714285755,[1.40221646]
122.14285714285755,[1.40221646]
122.14285714285755,[1.40221646]
122.14285714285755,[1.40221646]
122.14285714285755,[1.40221646]
122.14285714285755,[1.40221646]
122.14285714285755,[1.40736184]
122.14285714285755,[1.36281596]
