Misorientation Angle (degrees),Predicted Velocity (A/ps)
109.28571428571416,[1.54801017]
109.28571428571416,[1.59817166]
109.28571428571416,[1.60762836]
109.28571428571416,[1.60303121]
109.28571428571416,[1.60303121]
109.28571428571416,[1.60303121]
109.28571428571416,[1.60303121]
109.28571428571416,[1.60303121]
109.28571428571416,[1.60303121]
109.28571428571416,[1.60303121]
109.28571428571416,[1.60303121]
109.28571428571416,[1.60303121]
109.28571428571416,[1.61746319]
109.28571428571416,[1.612352]
109.28571428571416,[1.54801137]
109.28571428571416,[1.50376698]
96.42857142857144,[1.52760282]
96.42857142857144,[1.57799795]
96.42857142857144,[1.59181493]
96.42857142857144,[1.58507713]
96.42857142857144,[1.58507713]
96.42857142857144,[1.58005632]
96.42857142857144,[1.58005632]
96.42857142857144,[1.58005632]
96.42857142857144,[1.58005632]
96.42857142857144,[1.58005632]
96.42857142857144,[1.58005632]
96.42857142857144,[1.57984097]
96.42857142857144,[1.5797431]
96.42857142857144,[1.59430917]
96.42857142857144,[1.56744652]
96.42857142857144,[1.51434665]
122.14285714285735,[1.4910911]
122.14285714285735,[1.54262411]
122.14285714285735,[1.57877376]
122.14285714285735,[1.59699865]
122.14285714285735,[1.58204712]
122.14285714285735,[1.58097017]
122.14285714285735,[1.58097017]
122.14285714285735,[1.58097017]
122.14285714285735,[1.58097017]
122.14285714285735,[1.58097017]
122.14285714285735,[1.59090409]
122.14285714285735,[1.59462005]
122.14285714285735,[1.58001327]
122.14285714285735,[1.58277554]
122.14285714285735,[1.53076267]
122.14285714285735,[1.48387281]
135.00000000000023,[1.48343237]
135.00000000000023,[1.53533034]
135.00000000000023,[1.56705533]
135.00000000000023,[1.57807433]
135.00000000000023,[1.57620571]
135.00000000000023,[1.58690759]
135.00000000000023,[1.58690759]
135.00000000000023,[1.58690759]
135.00000000000023,[1.58690759]
135.00000000000023,[1.58690759]
135.00000000000023,[1.58690759]
135.00000000000023,[1.57620571]
135.00000000000023,[1.57807433]
135.00000000000023,[1.53384847]
135.00000000000023,[1.53379176]
135.00000000000023,[1.36304522]
147.8571428571427,[1.34302132]
147.8571428571427,[1.40888156]
147.8571428571427,[1.33849265]
147.8571428571427,[1.35943659]
147.8571428571427,[1.35943659]
147.8571428571427,[1.35943659]
147.8571428571427,[1.35943659]
147.8571428571427,[1.35943659]
147.8571428571427,[1.35995135]
147.8571428571427,[1.35943659]
147.8571428571427,[1.35943659]
147.8571428571427,[1.35943659]
147.8571428571427,[1.33064639]
147.8571428571427,[1.33064639]
147.8571428571427,[1.36551195]
147.8571428571427,[1.31093127]
160.7142857142859,[1.2297471]
160.7142857142859,[0.86765596]
160.7142857142859,[0.8733114]
160.7142857142859,[0.8733114]
160.7142857142859,[0.86620503]
160.7142857142859,[0.86620503]
160.7142857142859,[0.86620503]
160.7142857142859,[0.86620503]
160.7142857142859,[0.86679924]
160.7142857142859,[0.86679924]
160.7142857142859,[0.86679924]
160.7142857142859,[0.86620503]
160.7142857142859,[0.86620503]
160.7142857142859,[0.86947169]
160.7142857142859,[0.87802267]
160.7142857142859,[1.17117327]
173.57142857142813,[0.47601292]
173.57142857142813,[0.34843947]
173.57142857142813,[0.3411854]
173.57142857142813,[0.33988849]
173.57142857142813,[0.33988849]
173.57142857142813,[0.33988849]
173.57142857142813,[0.33988849]
173.57142857142813,[0.35109104]
173.57142857142813,[0.35109104]
173.57142857142813,[0.33988849]
173.57142857142813,[0.33988849]
173.57142857142813,[0.33988849]
173.57142857142813,[0.33988849]
173.57142857142813,[0.3411854]
173.57142857142813,[0.35179708]
173.57142857142813,[0.27921354]
173.57142857142813,[0.27921354]
173.57142857142813,[0.35179708]
173.57142857142813,[0.3411854]
173.57142857142813,[0.33988849]
173.57142857142813,[0.33988849]
173.57142857142813,[0.33988849]
173.57142857142813,[0.33988849]
173.57142857142813,[0.35109104]
173.57142857142813,[0.35109104]
173.57142857142813,[0.33988849]
173.57142857142813,[0.33988849]
173.57142857142813,[0.33988849]
173.57142857142813,[0.33988849]
173.57142857142813,[0.3411854]
173.57142857142813,[0.3453049]
173.57142857142813,[0.47601292]
160.7142857142859,[1.16823194]
160.7142857142859,[0.87802267]
160.7142857142859,[0.87076861]
160.7142857142859,[0.86620503]
160.7142857142859,[0.86620503]
160.7142857142859,[0.86620503]
160.7142857142859,[0.86620503]
160.7142857142859,[0.86620503]
160.7142857142859,[0.86620503]
160.7142857142859,[0.86620503]
160.7142857142859,[0.86620503]
160.7142857142859,[0.8733114]
160.7142857142859,[0.8733114]
160.7142857142859,[0.8733114]
160.7142857142859,[0.87141993]
160.7142857142859,[1.2306573]
147.85714285714295,[1.31093127]
147.85714285714295,[1.36234662]
147.85714285714295,[1.33064639]
147.85714285714295,[1.33064639]
147.85714285714295,[1.35943659]
147.85714285714295,[1.35943659]
147.85714285714295,[1.35943659]
147.85714285714295,[1.35943659]
147.85714285714295,[1.35943659]
147.85714285714295,[1.35943659]
147.85714285714295,[1.35943659]
147.85714285714295,[1.35943659]
147.85714285714295,[1.33064639]
147.85714285714295,[1.33936623]
147.85714285714295,[1.40888156]
147.85714285714295,[1.34302132]
134.9999999999996,[1.3552982]
134.9999999999996,[1.53379176]
134.9999999999996,[1.53639792]
134.9999999999996,[1.57152496]
134.9999999999996,[1.57807433]
134.9999999999996,[1.57807433]
134.9999999999996,[1.58690759]
134.9999999999996,[1.58690759]
134.9999999999996,[1.58690759]
134.9999999999996,[1.58690759]
134.9999999999996,[1.58877621]
134.9999999999996,[1.57807433]
134.9999999999996,[1.57152496]
134.9999999999996,[1.53639792]
134.9999999999996,[1.53533034]
134.9999999999996,[1.48419923]
122.14285714285755,[1.49136989]
122.14285714285755,[1.53582395]
122.14285714285755,[1.58277554]
122.14285714285755,[1.58277554]
122.14285714285755,[1.59699865]
122.14285714285755,[1.59699865]
122.14285714285755,[1.59251439]
122.14285714285755,[1.58712763]
122.14285714285755,[1.58712763]
122.14285714285755,[1.58712763]
122.14285714285755,[1.59251439]
122.14285714285755,[1.59699865]
122.14285714285755,[1.59575914]
122.14285714285755,[1.58277554]
122.14285714285755,[1.53076267]
122.14285714285755,[1.49192924]
109.28571428571402,[1.50466141]
109.28571428571402,[1.54801137]
109.28571428571402,[1.58213006]
109.28571428571402,[1.612352]
109.28571428571402,[1.60503778]
109.28571428571402,[1.60503778]
109.28571428571402,[1.60359407]
109.28571428571402,[1.60303121]
109.28571428571402,[1.60303121]
109.28571428571402,[1.60303121]
109.28571428571402,[1.60303121]
109.28571428571402,[1.60359407]
109.28571428571402,[1.60503778]
109.28571428571402,[1.60963493]
