stress_11,stress_12,stress_13,stress_21,stress_22,stress_23,stress_31,stress_32,stress_33,e1,e2,e3,anev1,anev2,anev3,temp,miss,velo
1.6046668608818296e-17,0.04310313542640631,-5.854982898997343e-19,0.04310313542640631,-5.671573796137185e-18,-0.043769850213241084,-5.854982898997343e-19,-0.043769850213241084,-5.5022730858047316e-18,0.06143028627050895,9.07851001420877e-19,-0.061430286270509005,0.31168229410261045,0.8976125528789513,0.3116822941026104,500.0,109.28571428571416,[0.21095377]
1.6578446481016387e-17,0.15977777185591635,2.545276103856294e-19,0.15977777185591635,-1.1959575819638687e-18,-0.0275052840477325,2.545276103856294e-19,-0.0275052840477325,-1.7364175418713157e-18,0.16212796498379828,-1.2108421469321622e-18,-0.16212796498379822,0.11692714773212166,0.9862332808450855,0.11692714773212164,500.0,109.28571428571416,[0.39150876]
1.6235504016496802e-17,0.1833180054548957,6.797718575172497e-19,0.1833180054548957,-5.079021309973598e-19,-0.019193104714060664,6.797718575172497e-19,-0.019193104714060664,-4.818558678692901e-19,0.18432001083041977,-1.6595529460627327e-19,-0.18432001083041977,0.16277437281977658,0.9731438779061691,0.16277437281977655,500.0,109.28571428571416,[0.85058262]
1.5777523889828242e-17,0.19287933169640023,9.83975592794598e-19,0.19287933169640023,-3.3208985488288913e-19,-0.015608339216046298,9.83975592794598e-19,-0.015608339216046298,2.1705219273391446e-19,0.19350983656841103,4.83321103873246e-19,-0.19350983656841106,0.17894758328493285,0.9674479442703696,0.1789475832849328,500.0,109.28571428571416,[0.86318234]
1.527830384654024e-17,0.19775010566321244,1.2437429787704445e-18,0.19775010566321244,-3.2774881102821084e-19,-0.013891837888508096,1.2437429787704445e-18,-0.013891837888508096,7.075901483125611e-19,0.19823745218735098,9.621815147873748e-19,-0.19823745218735106,0.18619735255520348,0.9647077753407333,0.18619735255520353,500.0,109.28571428571416,[0.84702594]
1.4757378583978844e-17,0.2003920273892541,1.483127807272372e-18,0.2003920273892541,-3.972055127030635e-19,-0.013118582995255541,1.483127807272372e-18,-0.013118582995255541,1.1123924877613116e-18,0.20082096967443158,1.358152507406335e-18,-0.20082096967443155,0.189444263047574,0.9634426513273757,0.18944426304757395,500.0,109.28571428571416,[0.84450347]
1.4225600711780754e-17,0.20171186222609153,1.6958559133541656e-18,0.20171186222609153,-5.10072652924699e-19,-0.012927386055864519,1.6958559133541656e-18,-0.012927386055864519,1.4542496913172269e-18,0.20212568533700778,1.732776569054578e-18,-0.20212568533700778,0.1903777247269824,0.963074578553268,0.19037772472698247,500.0,109.28571428571416,[0.83954037]
1.3676458664163952e-17,0.2020870503894119,1.9105934479390034e-18,0.2020870503894119,-6.641797097657783e-19,-0.013169028657859258,1.9105934479390034e-18,-0.013169028657859258,1.755952239217368e-18,0.20251567655587616,2.049228613556566e-18,-0.20251567655587616,0.1896474016909819,0.9633627178086761,0.18964740169098188,500.0,109.28571428571416,[0.84450347]
1.3118634528837792e-17,0.20165252202015774,2.1089333676508964e-18,0.20165252202015774,-8.356509420255708e-19,-0.013798821094675003,2.1089333676508964e-18,-0.013798821094675003,2.0207559143527436e-18,0.20212408837318982,2.3467575237603896e-18,-0.20212408837318976,0.18743313208085163,0.9642290402164436,0.18743313208085163,500.0,109.28571428571416,[0.84702594]
1.2567321959293649e-17,0.20038458194525455,2.300609106757756e-18,0.20038458194525455,-1.0375094812681111e-18,-0.014846385264374071,2.300609106757756e-18,-0.014846385264374071,2.263854370214728e-18,0.2009338095911007,2.65924511321433e-18,-0.2009338095911007,0.18359011442515896,0.9657066530632964,0.18359011442515896,500.0,109.28571428571416,[0.85030095]
