stress_11,stress_12,stress_13,stress_21,stress_22,stress_23,stress_31,stress_32,stress_33,tangent_1,tangent_2,tangent_3,burgers_1,burgers_2,burgers_3,e1,e2,e3,anev1,anev2,anev3,temp,miss,velo
-5.348166028963652e-18,0.01497125307804883,5.229438479538202e-17,0.01497125307804883,-1.1738182583050094e-17,-0.1064438298465441,5.229438479538202e-17,-0.1064438298465441,-5.962857838786098e-17,0.33027906195516527,0.0,0.9438833303083682,-1.0000000000000004,-1.655422708293217e-17,0.0,0.1074915221360597,-5.8167871372036875e-18,-0.10749152213605984,0.6283936231213707,0.4585225281715099,0.6283936231213707,300.0,109.28571428571418,[0.44176523]
8.5779026568443e-18,0.04872552187535934,4.3094627606355047e-17,0.04872552187535934,-3.1255515753683683e-19,-0.014316463914532824,4.3094627606355047e-17,-0.014316463914532824,-1.418653131708865e-17,0.11196447610330802,-0.0,0.9937122098932425,-1.0000000000000004,-1.655422708293217e-17,-0.0,0.05078521065273081,1.1065150218835044e-17,-0.0507852106527308,0.12212167945799936,0.9849733959923562,0.12212167945800059,300.0,96.42857142857144,[0.2906487]
1.5975041385216106e-18,-0.05275297661342477,-3.446449676563415e-17,-0.05275297661342477,-1.7016891910338894e-17,-0.17022082096917526,-3.446449676563415e-17,-0.17022082096917526,-4.123991661944375e-18,0.5320320765153398,0.0,0.8467241992282821,-1.0000000000000004,-1.655422708293217e-17,0.0,0.17820775637720304,8.913675038152636e-18,-0.17820775637720315,0.6832543047926654,0.257540501600395,0.6832543047926655,300.0,122.14285714285737,[0.37000279]
-6.907468981564094e-17,-0.14034762969156256,-9.135618266074093e-17,-0.14034762969156256,-1.829315880361431e-17,-0.196864050382267,-9.135618266074093e-17,-0.196864050382267,1.831920506674238e-18,0.7071067811865442,0.0,0.7071067811865506,-1.0000000000000004,-1.655422708293217e-17,0.0,0.24177036934444993,2.52184709398435e-17,-0.24177036934445043,0.6973800821584647,0.16529380513892616,0.6973800821584649,300.0,134.99999999999974,[0.38810232]
-1.8110834961717823e-17,-0.22906867976205295,-9.702531461970986e-17,-0.22906867976205295,-1.1733841539195416e-17,-0.18012586915727308,-9.702531461970986e-17,-0.18012586915727308,-5.25266306416073e-18,0.8467241992282871,0.0,0.5320320765153319,-1.0000000000000004,-1.655422708293217e-17,0.0,0.29140656956834904,9.123280015624733e-17,-0.29140656956834887,0.7031859092734005,0.1051625123258345,0.7031859092734009,300.0,147.85714285714317,[0.26570933]
-7.582935405352036e-17,-0.3016662787168213,2.5690840162467954e-17,-0.3016662787168213,-1.6665267358109952e-17,-0.12440950726879671,2.5690840162467954e-17,-0.12440950726879671,-1.224087546142184e-16,0.9438833303083684,0.0,0.3302790619551646,-1.0000000000000004,-1.655422708293217e-17,0.0,0.32631314594070465,-1.360086693051913e-16,-0.3263131459407052,0.7060546825220493,0.05453045550310567,0.7060546825220494,300.0,160.7142857142859,[0.23428496]
-3.123815157826497e-17,-0.3453690844983821,4.6957885321777807e-17,-0.3453690844983821,-1.436234359320312e-17,-0.041856619123311935,4.6957885321777807e-17,-0.041856619123311935,-6.470542917590724e-17,0.9937122098932417,0.0,0.11196447610331499,-1.0000000000000004,-1.655422708293217e-17,0.0,0.3478962217266587,-7.559095983884337e-17,-0.34789622172665885,0.707081799234345,0.008405854093583173,0.7070817992343448,300.0,173.57142857142824,[0.22707731]
-9.873921299658503e-17,-0.3521677248643885,2.04300376410797e-17,-0.3521677248643885,-6.427458057333043e-18,0.05172414258432137,2.04300376410797e-17,0.05172414258432137,-1.0814734029063656e-16,0.9937122098932417,0.0,-0.11196447610331446,-1.0000000000000004,-1.655422708293217e-17,0.0,0.3559459135349678,-1.0214565903006572e-16,-0.35594591353496796,0.7067069292541672,0.03362487603383,0.7067069292541672,300.0,173.57142857142824,[0.21418945]
-1.692790051131799e-16,-0.31985291757836937,1.1744700931713134e-16,-0.31985291757836937,1.2678561208069779e-18,0.13908903033131198,1.1744700931713134e-16,0.13908903033131198,-2.547460191545679e-16,0.9438833303083684,0.0,-0.3302790619551646,-1.0000000000000004,-1.655422708293217e-17,0.0,0.34878596193353273,-1.566252082112828e-16,-0.3487859619335331,0.7051931158729359,0.07352100822785049,0.7051931158729362,300.0,160.7142857142859,[0.24416035]
-1.5399798811423048e-16,-0.2541335841048697,1.024591823503983e-16,-0.2541335841048697,5.941532460849991e-18,0.20375276352298546,1.024591823503983e-16,0.20375276352298546,-2.468584781282379e-16,0.8467241992282853,0.0,-0.5320320765153347,-1.0000000000000004,-1.655422708293217e-17,0.0,0.32572851765425814,-1.0419412917913462e-16,-0.32572851765425836,0.7024514946592504,0.11455913451999254,0.7024514946592506,300.0,147.85714285714297,[0.33644448]
2.3969209301226633e-17,-0.16783654319971494,1.823303365050676e-16,-0.16783654319971494,-1.7848727481789064e-17,0.23310718153203164,1.823303365050676e-16,0.23310718153203164,-1.336225187509803e-16,0.7071067811865482,0.0,-0.7071067811865467,-1.0000000000000004,-1.655422708293217e-17,0.0,0.2872421684137571,1.3330687838922352e-16,-0.2872421684137573,0.6979193322238952,0.160677351908424,0.6979193322238956,300.0,135.00000000000009,[0.3749895]
1.713637235955789e-16,-0.07792979310268441,7.281870872198114e-17,-0.07792979310268441,-3.338564986383189e-17,0.22122622669152203,7.281870872198114e-17,0.22122622669152203,5.916076308370917e-17,0.5320320765153336,0.0,-0.846724199228286,-1.0000000000000004,-1.655422708293217e-17,0.0,0.2345508389010704,2.260459767735912e-16,-0.23455083890107034,0.6897055059475866,0.2204827207088274,0.6897055059475865,300.0,122.14285714285697,[0.51943059]
-7.971726754146148e-17,-0.0021459199757485944,-7.56361002347505e-17,-0.0021459199757485944,-1.529262632375023e-17,0.17025267161764182,-7.56361002347505e-17,0.17025267161764182,-2.541098697006294e-17,0.33027906195517387,0.0,-0.9438833303083651,-1.0000000000000004,-1.655422708293217e-17,0.0,0.17026619501676454,-8.326672684688674e-17,-0.17026619501676457,0.6703167056933531,0.3183567623544713,0.670316705693353,300.0,109.2857142857147,[0.37266512]
-1.1127379059774046e-16,0.044211311308912524,2.055412726991881e-18,0.044211311308912524,-1.7327518186084834e-17,0.0901309192935614,2.055412726991881e-18,0.0901309192935614,-7.373144710683237e-17,0.11196447610330278,0.0,-0.993712209893243,-1.0000000000000004,-1.655422708293217e-17,0.0,0.10039035143058346,-9.999022310937696e-17,-0.10039035143058353,0.5959855913410584,0.538147145144985,0.5959855913410583,300.0,96.42857142857113,[0.42665561]
2.8311050144425117e-17,0.0512407510542368,-2.0917134344364366e-17,0.0512407510542368,-3.706259455545655e-17,-0.0032991332292801228,-2.0917134344364366e-17,-0.0032991332292801228,6.692440630955398e-17,-0.11196447610330278,0.0,-0.993712209893243,-1.0000000000000004,-1.655422708293217e-17,0.0,0.051346848478429616,6.408379690532212e-17,-0.051346848478429616,0.033859960189511186,0.9988528451137982,0.033859960189511804,300.0,83.57142857142887,[0.27252577]
2.2116465349811985e-17,0.016708732483186505,-3.251185210491585e-17,0.016708732483186505,-3.624378211557041e-17,-0.09149788565024874,-3.251185210491585e-17,-0.09149788565024874,5.500293332406163e-17,-0.33027906195517537,0.0,-0.9438833303083647,-1.0000000000000004,-1.655422708293217e-17,0.0,0.09301099300437929,5.1451705904601506e-18,-0.09301099300437925,0.6146143968591201,0.4944676797799833,0.6146143968591198,300.0,70.71428571428521,[0.41386908]
-3.6708680780882366e-17,-0.053280575523106805,-3.919645395104157e-17,-0.053280575523106805,-2.0224770704123134e-17,-0.15694488043249313,-3.919645395104157e-17,-0.15694488043249313,-2.3243373202962377e-17,-0.5320320765153308,0.0,-0.8467241992282878,-1.0000000000000004,-1.655422708293217e-17,0.0,0.165742315725475,-2.31901705710905e-17,-0.16574231572547515,0.6878814918524349,0.23159902058026266,0.687881491852435,300.0,57.85714285714325,[0.32293205]
-8.010311172845113e-18,-0.14531685242815326,-4.9733690355100465e-17,-0.14531685242815326,-3.2080992374174855e-18,-0.1865748233132532,-4.9733690355100465e-17,-0.1865748233132532,-1.69276970248873e-17,-0.7071067811865515,0.0,-0.7071067811865436,-1.0000000000000004,-1.655422708293217e-17,0.0,0.2364892223632978,4.011029118718103e-17,-0.23648922236329775,0.7017057107819269,0.12336203189012758,0.7017057107819272,300.0,44.99999999999968,[0.28752527]
2.9679716834435464e-17,-0.24120241998848985,-5.083740499445306e-17,-0.24120241998848985,-1.1946010057592817e-17,-0.17434002455748115,-5.083740499445306e-17,-0.17434002455748115,4.9225809420606296e-17,-0.8467241992282825,0.0,-0.5320320765153392,-1.0000000000000004,-1.655422708293217e-17,0.0,0.29761225037119526,5.556167484462987e-17,-0.2976122503711956,0.7056198292209979,0.06481753790649102,0.7056198292209981,300.0,32.142857142857316,[0.18529363]
-3.778878675497451e-18,-0.3218141644629549,6.936682850129875e-18,-0.3218141644629549,-1.9044159390473655e-17,-0.12248250497470016,6.936682850129875e-18,-0.12248250497470016,2.3159468964708673e-18,-0.9438833303083674,0.0,-0.33027906195516743,-1.0000000000000004,-1.655422708293217e-17,0.0,0.3443346053969416,-9.762404962414945e-19,-0.3443346053969414,0.7068476786673491,0.027068770292709127,0.7068476786673494,300.0,19.285714285714285,[0.19130499]
3.3686500312303524e-17,-0.3713307366206163,4.152086355141371e-17,-0.3713307366206163,-6.24459158495472e-18,-0.041208923259689535,4.152086355141371e-17,-0.041208923259689535,-3.5030053385326455e-17,-0.9937122098932425,0.0,-0.1119644761033075,-1.0000000000000004,-1.655422708293217e-17,0.0,0.37361034690628225,-4.328721708407525e-17,-0.3736103469062821,0.7071057884744064,0.001675652701429239,0.7071057884744062,300.0,6.428571428571361,[0.2755358]
3.986814676136541e-17,-0.38025024670742125,4.133460563852392e-17,-0.38025024670742125,-1.2762668932754172e-17,0.053166640095295606,4.133460563852392e-17,0.053166640095295606,-2.0077327827887088e-17,-0.9937122098932426,0.0,0.111964476103307,-1.0000000000000004,-1.655422708293217e-17,0.0,0.383949139522512,-7.638211344669201e-18,-0.3839491395225118,0.706854377754967,0.026716610886801516,0.7068543777549666,300.0,6.4285714285713045,[0.30711332]
7.605508833396363e-18,-0.34638002863004896,-2.0092521481378462e-17,-0.34638002863004896,-8.256665411598106e-18,0.14111966907360757,-2.0092521481378462e-17,0.14111966907360757,3.3808049540234517e-17,-0.9438833303083677,0.0,0.33027906195516665,-1.0000000000000004,-1.655422708293217e-17,0.0,0.37402390997528234,2.0212337081979147e-17,-0.37402390997528207,0.7062131175981637,0.05025997477679291,0.7062131175981639,300.0,19.285714285714267,[0.30314273]
7.056800890165027e-17,-0.27584742680742425,1.4998849148395324e-17,-0.27584742680742425,-1.3995525387482805e-17,0.20393962478490582,1.4998849148395324e-17,0.20393962478490582,5.119827122207575e-17,-0.8467241992282846,0.0,0.532032076515336,-1.0000000000000004,-1.655422708293217e-17,0.0,0.34304981188405487,8.914788591785071e-17,-0.3430498118840547,0.7050853301868041,0.0755602693929212,0.705085330186804,300.0,32.142857142857096,[0.18769911]
-7.81387893842092e-18,-0.18300135067574952,-5.0356922659990913e-17,-0.18300135067574952,-2.337218011358791e-17,0.22870351184558727,-5.0356922659990913e-17,0.22870351184558727,-2.083701050245579e-19,-0.7071067811865471,0.0,0.7071067811865479,-1.0000000000000004,-1.655422708293217e-17,0.0,0.2929074780193455,-5.57708725079798e-17,-0.29290747801934536,0.7027899480499866,0.11032940605203063,0.7027899480499866,300.0,45.00000000000003,[0.20912955]
-1.3207191823473227e-16,-0.08736561828915625,-1.0422896318830118e-16,-0.08736561828915625,-2.844251933585215e-17,0.211679315489904,-1.0422896318830118e-16,0.211679315489904,2.8998172949250972e-18,-0.5320320765153356,0.0,0.8467241992282849,-1.0000000000000004,-1.655422708293217e-17,0.0,0.22899974643069132,-1.9740211175292669e-16,-0.22899974643069115,0.6969650794767486,0.16875827677462119,0.6969650794767484,300.0,57.85714285714292,[0.38688732]
