Misorientation Angle (degrees),Predicted Velocity (A/ps)
109.28571428571418,[1.54593065]
96.42857142857144,[1.57603528]
122.14285714285737,[1.52808978]
134.99999999999974,[1.37991068]
147.85714285714317,[1.08469994]
160.7142857142859,[0.80502234]
173.57142857142824,[0.47946475]
173.57142857142824,[0.49112953]
160.7142857142859,[1.08446886]
147.85714285714297,[1.08724245]
135.00000000000009,[1.40283584]
122.14285714285697,[1.56325798]
109.2857142857147,[1.58666275]
96.42857142857113,[1.61161687]
83.57142857142887,[1.56850942]
70.71428571428521,[1.50574095]
57.85714285714325,[1.3746235]
44.99999999999968,[1.3093854]
32.142857142857316,[0.86089265]
19.285714285714285,[0.8641165]
6.428571428571361,[0.3985769]
6.4285714285713045,[0.38578021]
19.285714285714267,[0.86123663]
32.142857142857096,[0.87746588]
45.00000000000003,[1.33837532]
57.85714285714292,[1.37013843]
70.71428571428564,[1.55017757]
83.57142857142857,[1.62164714]
